item_id,condition,norm_clip_id,source_key,source_name,source_family,benchmark_role,label,release_mode,media_path,source_url
T0::real::L1-02_L2-02a_0004__scene_011,T0,L1-02_L2-02a_0004__scene_011,real,Real,real,RA-Bench,real,canonical_reference,media/main/real/L1-02/L1-02_L2-02a_0004__scene_011.mp4,https://www.dvidshub.net/video/32368/insurgents-haifa-street
T0::real::L1-02_L2-02a_0004__scene_035,T0,L1-02_L2-02a_0004__scene_035,real,Real,real,RA-Bench,real,canonical_reference,media/main/real/L1-02/L1-02_L2-02a_0004__scene_035.mp4,https://www.dvidshub.net/video/32368/insurgents-haifa-street
T0::real::L1-02_L2-02a_0005__scene_008,T0,L1-02_L2-02a_0005__scene_008,real,Real,real,RA-Bench,real,canonical_reference,media/main/real/L1-02/L1-02_L2-02a_0005__scene_008.mp4,https://www.dvidshub.net/video/27956/controlling-haifa-area-operation
T0::real::L1-02_L2-02a_0005__scene_009,T0,L1-02_L2-02a_0005__scene_009,real,Real,real,RA-Bench,real,canonical_reference,media/main/real/L1-02/L1-02_L2-02a_0005__scene_009.mp4,https://www.dvidshub.net/video/27956/controlling-haifa-area-operation
T0::real::L1-02_L2-02a_0005__scene_011,T0,L1-02_L2-02a_0005__scene_011,real,Real,real,RA-Bench,real,canonical_reference,media/main/real/L1-02/L1-02_L2-02a_0005__scene_011.mp4,https://www.dvidshub.net/video/27956/controlling-haifa-area-operation
T0::real::L1-02_L2-02a_0005__scene_013,T0,L1-02_L2-02a_0005__scene_013,real,Real,real,RA-Bench,real,canonical_reference,media/main/real/L1-02/L1-02_L2-02a_0005__scene_013.mp4,https://www.dvidshub.net/video/27956/controlling-haifa-area-operation
T0::real::L1-02_L2-02a_0007__scene_015,T0,L1-02_L2-02a_0007__scene_015,real,Real,real,RA-Bench,real,canonical_reference,media/main/real/L1-02/L1-02_L2-02a_0007__scene_015.mp4,https://www.dvidshub.net/video/14107/stryker-brigade-mosul
T0::real::L1-02_L2-02a_0010__scene_006,T0,L1-02_L2-02a_0010__scene_006,real,Real,real,RA-Bench,real,canonical_reference,media/main/real/L1-02/L1-02_L2-02a_0010__scene_006.mp4,https://www.dvidshub.net/video/1459/infantry-goes-into-fallujah
T0::real::L1-02_L2-02a_0010__scene_008,T0,L1-02_L2-02a_0010__scene_008,real,Real,real,RA-Bench,real,canonical_reference,media/main/real/L1-02/L1-02_L2-02a_0010__scene_008.mp4,https://www.dvidshub.net/video/1459/infantry-goes-into-fallujah
T0::real::L1-02_L2-02b_0003__scene_007,T0,L1-02_L2-02b_0003__scene_007,real,Real,real,RA-Bench,real,canonical_reference,media/main/real/L1-02/L1-02_L2-02b_0003__scene_007.mp4,https://www.dvidshub.net/video/946347/flight-experiment-mission-02-fem-02-b-roll
T0::real::L1-02_L2-02b_0004__scene_016,T0,L1-02_L2-02b_0004__scene_016,real,Real,real,RA-Bench,real,canonical_reference,media/main/real/L1-02/L1-02_L2-02b_0004__scene_016.mp4,https://www.dvidshub.net/video/944147/stinger-missile-live-fire-exercise-afn-broll
T0::real::L1-02_L2-02b_0004__scene_023,T0,L1-02_L2-02b_0004__scene_023,real,Real,real,RA-Bench,real,canonical_reference,media/main/real/L1-02/L1-02_L2-02b_0004__scene_023.mp4,https://www.dvidshub.net/video/944147/stinger-missile-live-fire-exercise-afn-broll
T0::real::L1-02_L2-02b_0012__scene_003,T0,L1-02_L2-02b_0012__scene_003,real,Real,real,RA-Bench,real,canonical_reference,media/main/real/L1-02/L1-02_L2-02b_0012__scene_003.mp4,https://www.dvidshub.net/video/595888/coalition-air-strike-destroys-vbied-factory
T0::real::L1-02_L2-02c_0002__scene_002,T0,L1-02_L2-02c_0002__scene_002,real,Real,real,RA-Bench,real,canonical_reference,media/main/real/L1-02/L1-02_L2-02c_0002__scene_002.mp4,https://www.dvidshub.net/video/991049/b-roll-operation-christmas-drop-2025s-elephant-walk
T0::real::L1-02_L2-02c_0003__scene_015,T0,L1-02_L2-02c_0003__scene_015,real,Real,real,RA-Bench,real,canonical_reference,media/main/real/L1-02/L1-02_L2-02c_0003__scene_015.mp4,https://www.dvidshub.net/video/985972/1st-maw-holds-elephant-walk-mcas-futenma
T0::real::L1-02_L2-02c_0003__scene_020,T0,L1-02_L2-02c_0003__scene_020,real,Real,real,RA-Bench,real,canonical_reference,media/main/real/L1-02/L1-02_L2-02c_0003__scene_020.mp4,https://www.dvidshub.net/video/985972/1st-maw-holds-elephant-walk-mcas-futenma
T0::real::L1-02_L2-02c_0009__scene_002,T0,L1-02_L2-02c_0009__scene_002,real,Real,real,RA-Bench,real,canonical_reference,media/main/real/L1-02/L1-02_L2-02c_0009__scene_002.mp4,https://www.dvidshub.net/video/955407/navy-super-hornets-fly-formation-over-uscentcom-aor-stringer
T0::real::L1-02_L2-02c_0010__scene_007,T0,L1-02_L2-02c_0010__scene_007,real,Real,real,RA-Bench,real,canonical_reference,media/main/real/L1-02/L1-02_L2-02c_0010__scene_007.mp4,https://www.dvidshub.net/video/952156/us-jasdf-and-raaf-aircraft-fly-formation-during-cn25
T0::real::L1-02_L2-02c_0011__scene_015,T0,L1-02_L2-02c_0011__scene_015,real,Real,real,RA-Bench,real,canonical_reference,media/main/real/L1-02/L1-02_L2-02c_0011__scene_015.mp4,https://www.dvidshub.net/video/952173/marine-kc-130js-fly-formation-over-arizona
T0::real::L1-02_L2-02c_0012__scene_004,T0,L1-02_L2-02c_0012__scene_004,real,Real,real,RA-Bench,real,canonical_reference,media/main/real/L1-02/L1-02_L2-02c_0012__scene_004.mp4,https://www.dvidshub.net/video/931424/multinational-ships-sail-formation-during-rimpac-2024-4k
T0::real::L1-02_L2-02d_0001__scene_003,T0,L1-02_L2-02d_0001__scene_003,real,Real,real,RA-Bench,real,canonical_reference,media/main/real/L1-02/L1-02_L2-02d_0001__scene_003.mp4,https://www.dvidshub.net/video/998309/b-roll-task-force-ashland-conducts-counter-landing-defense-during-exercise-cobra-gold-2026
T0::real::L1-02_L2-02d_0002__scene_009,T0,L1-02_L2-02d_0002__scene_009,real,Real,real,RA-Bench,real,canonical_reference,media/main/real/L1-02/L1-02_L2-02d_0002__scene_009.mp4,https://www.dvidshub.net/video/997776/b-roll-spanish-air-force-nh90-helicopter-during-touch-and-go-training-during-exercise-sentry-south-26-2
T0::real::L1-02_L2-02d_0003__scene_003,T0,L1-02_L2-02d_0003__scene_003,real,Real,real,RA-Bench,real,canonical_reference,media/main/real/L1-02/L1-02_L2-02d_0003__scene_003.mp4,https://www.dvidshub.net/video/998318/core26-us-marines-conduct-cold-weather-training-during-arctic-exercise-b-roll
T0::real::L1-02_L2-02d_0007__scene_005,T0,L1-02_L2-02d_0007__scene_005,real,Real,real,RA-Bench,real,canonical_reference,media/main/real/L1-02/L1-02_L2-02d_0007__scene_005.mp4,https://www.dvidshub.net/video/966525/4-2cr-conduct-urban-readiness-training-saber-guardian-25
T0::real::L1-02_L2-02d_0007__scene_011,T0,L1-02_L2-02d_0007__scene_011,real,Real,real,RA-Bench,real,canonical_reference,media/main/real/L1-02/L1-02_L2-02d_0007__scene_011.mp4,https://www.dvidshub.net/video/966525/4-2cr-conduct-urban-readiness-training-saber-guardian-25
T0::real::L1-02_L2-02d_0009__scene_010,T0,L1-02_L2-02d_0009__scene_010,real,Real,real,RA-Bench,real,canonical_reference,media/main/real/L1-02/L1-02_L2-02d_0009__scene_010.mp4,https://www.dvidshub.net/video/966247/immediate-response-25-live-fire-exercise
T0::real::L1-02_L2-02d_0009__scene_013,T0,L1-02_L2-02d_0009__scene_013,real,Real,real,RA-Bench,real,canonical_reference,media/main/real/L1-02/L1-02_L2-02d_0009__scene_013.mp4,https://www.dvidshub.net/video/966247/immediate-response-25-live-fire-exercise
T0::real::L1-02_L2-02d_0009__scene_014,T0,L1-02_L2-02d_0009__scene_014,real,Real,real,RA-Bench,real,canonical_reference,media/main/real/L1-02/L1-02_L2-02d_0009__scene_014.mp4,https://www.dvidshub.net/video/966247/immediate-response-25-live-fire-exercise
T0::real::L1-02_L2-02d_0009__scene_016,T0,L1-02_L2-02d_0009__scene_016,real,Real,real,RA-Bench,real,canonical_reference,media/main/real/L1-02/L1-02_L2-02d_0009__scene_016.mp4,https://www.dvidshub.net/video/966247/immediate-response-25-live-fire-exercise
T0::real::L1-02_L2-02d_0012__scene_018,T0,L1-02_L2-02d_0012__scene_018,real,Real,real,RA-Bench,real,canonical_reference,media/main/real/L1-02/L1-02_L2-02d_0012__scene_018.mp4,https://www.dvidshub.net/video/963299/swift-response-25-sky-soldiers-conduct-blank-fire-exercise
T0::real::L1-02_L2-02d_0014__scene_001,T0,L1-02_L2-02d_0014__scene_001,real,Real,real,RA-Bench,real,canonical_reference,media/main/real/L1-02/L1-02_L2-02d_0014__scene_001.mp4,https://www.dvidshub.net/video/962878/b-roll-force-force-training-swift-response-25
T0::real::L1-03_L2-03a_0010__scene_006,T0,L1-03_L2-03a_0010__scene_006,real,Real,real,RA-Bench,real,canonical_reference,media/main/real/L1-03/L1-03_L2-03a_0010__scene_006.mp4,https://www.whitehouse.gov/videos/press-secretary-karoline-leavitt-briefs-members-of-the-media-nov-4-2025/
T0::real::L1-03_L2-03b_0007__scene_002,T0,L1-03_L2-03b_0007__scene_002,real,Real,real,RA-Bench,real,canonical_reference,media/main/real/L1-03/L1-03_L2-03b_0007__scene_002.mp4,https://multimedia.europarl.europa.eu/en/video/four-years-of-russias-war-of-aggression-against-ukraine-and-european-contributions-to-a-just-peace-and-sustained-security-for-ukraine-meps-debate_I285177
T0::real::L1-03_L2-03b_0007__scene_079,T0,L1-03_L2-03b_0007__scene_079,real,Real,real,RA-Bench,real,canonical_reference,media/main/real/L1-03/L1-03_L2-03b_0007__scene_079.mp4,https://multimedia.europarl.europa.eu/en/video/four-years-of-russias-war-of-aggression-against-ukraine-and-european-contributions-to-a-just-peace-and-sustained-security-for-ukraine-meps-debate_I285177
T0::real::L1-03_L2-03c_0013__scene_034,T0,L1-03_L2-03c_0013__scene_034,real,Real,real,RA-Bench,real,canonical_reference,media/main/real/L1-03/L1-03_L2-03c_0013__scene_034.mp4,https://www.whitehouse.gov/videos/president-trump-delivers-investing-in-america-remarks/
T0::real::L1-03_L2-03d_0001__scene_005,T0,L1-03_L2-03d_0001__scene_005,real,Real,real,RA-Bench,real,canonical_reference,media/main/real/L1-03/L1-03_L2-03d_0001__scene_005.mp4,https://multimedia.europarl.europa.eu/en/video/roberta-metsola-ep-president-meets-with-rob-jetten-dutch-prime-minister-arrival-welcome-and-roundtable_I285760
T0::real::L1-03_L2-03d_0011__scene_011,T0,L1-03_L2-03d_0011__scene_011,real,Real,real,RA-Bench,real,canonical_reference,media/main/real/L1-03/L1-03_L2-03d_0011__scene_011.mp4,https://www.whitehouse.gov/videos/president-trump-participates-in-a-bilateral-meeting-with-the-president-of-the-republic-of-poland/
T0::real::L1-03_L2-03d_0014__scene_086,T0,L1-03_L2-03d_0014__scene_086,real,Real,real,RA-Bench,real,canonical_reference,media/main/real/L1-03/L1-03_L2-03d_0014__scene_086.mp4,https://www.whitehouse.gov/videos/president-trump-participates-in-a-nato-family-photo/
T0::real::L1-04_L2-04a_0005__scene_005,T0,L1-04_L2-04a_0005__scene_005,real,Real,real,RA-Bench,real,canonical_reference,media/main/real/L1-04/L1-04_L2-04a_0005__scene_005.mp4,https://www.dvidshub.net/video/977726/dc-safe-and-beautiful-task-force
T0::real::L1-04_L2-04a_0007__scene_001,T0,L1-04_L2-04a_0007__scene_001,real,Real,real,RA-Bench,real,canonical_reference,media/main/real/L1-04/L1-04_L2-04a_0007__scene_001.mp4,https://www.dvidshub.net/video/968080/b-roll-california-national-guard-supports-security-operations-los-angeles
T0::real::L1-04_L2-04a_0009__scene_002,T0,L1-04_L2-04a_0009__scene_002,real,Real,real,RA-Bench,real,canonical_reference,media/main/real/L1-04/L1-04_L2-04a_0009__scene_002.mp4,https://www.dvidshub.net/video/949329/california-army-national-guard-military-police-provide-traffic-check-point-support-near-eaton-fire-area
T0::real::L1-04_L2-04a_0009__scene_020,T0,L1-04_L2-04a_0009__scene_020,real,Real,real,RA-Bench,real,canonical_reference,media/main/real/L1-04/L1-04_L2-04a_0009__scene_020.mp4,https://www.dvidshub.net/video/949329/california-army-national-guard-military-police-provide-traffic-check-point-support-near-eaton-fire-area
T0::real::L1-04_L2-04a_0010__scene_003,T0,L1-04_L2-04a_0010__scene_003,real,Real,real,RA-Bench,real,canonical_reference,media/main/real/L1-04/L1-04_L2-04a_0010__scene_003.mp4,https://www.dvidshub.net/video/792081/minnesota-guardsmen-provide-security-brooklyn-center-police-department
T0::real::L1-04_L2-04a_0011__scene_001,T0,L1-04_L2-04a_0011__scene_001,real,Real,real,RA-Bench,real,canonical_reference,media/main/real/L1-04/L1-04_L2-04a_0011__scene_001.mp4,https://www.dvidshub.net/video/781567/cal-guard-sacramento-during-2021-inauguration
T0::real::L1-04_L2-04a_0011__scene_008,T0,L1-04_L2-04a_0011__scene_008,real,Real,real,RA-Bench,real,canonical_reference,media/main/real/L1-04/L1-04_L2-04a_0011__scene_008.mp4,https://www.dvidshub.net/video/781567/cal-guard-sacramento-during-2021-inauguration
T0::real::L1-04_L2-04a_0011__scene_009,T0,L1-04_L2-04a_0011__scene_009,real,Real,real,RA-Bench,real,canonical_reference,media/main/real/L1-04/L1-04_L2-04a_0011__scene_009.mp4,https://www.dvidshub.net/video/781567/cal-guard-sacramento-during-2021-inauguration
T0::real::L1-04_L2-04a_0013__scene_002,T0,L1-04_L2-04a_0013__scene_002,real,Real,real,RA-Bench,real,canonical_reference,media/main/real/L1-04/L1-04_L2-04a_0013__scene_002.mp4,https://www.dvidshub.net/video/756806/cal-guard-supports-sacramento-peace-officers-during-civil-unrest
T0::real::L1-04_L2-04b_0016__scene_002,T0,L1-04_L2-04b_0016__scene_002,real,Real,real,RA-Bench,real,url_only,,https://www.youtube.com/watch?v=MbspKeMop6g
T0::real::L1-04_L2-04b_0016__scene_019,T0,L1-04_L2-04b_0016__scene_019,real,Real,real,RA-Bench,real,url_only,,https://www.youtube.com/watch?v=MbspKeMop6g
T0::real::L1-04_L2-04b_0018__scene_013,T0,L1-04_L2-04b_0018__scene_013,real,Real,real,RA-Bench,real,url_only,,https://www.youtube.com/watch?v=5tvker-nNtA
T0::real::L1-04_L2-04b_0024__scene_013,T0,L1-04_L2-04b_0024__scene_013,real,Real,real,RA-Bench,real,url_only,,https://www.youtube.com/watch?v=YeIlPx5ausg
T0::real::L1-04_L2-04c_0001__scene_008,T0,L1-04_L2-04c_0001__scene_008,real,Real,real,RA-Bench,real,canonical_reference,media/main/real/L1-04/L1-04_L2-04c_0001__scene_008.mp4,https://www.dvidshub.net/video/998358/146-aes-conductsaeromedical-evacuation-exercise-with-139-aw-c-130-hercules-missouri-ang
T0::real::L1-04_L2-04c_0009__scene_002,T0,L1-04_L2-04c_0009__scene_002,real,Real,real,RA-Bench,real,canonical_reference,media/main/real/L1-04/L1-04_L2-04c_0009__scene_002.mp4,https://www.dvidshub.net/video/960169/flintlock-2025-special-operations-joint-raid-demonstration
T0::real::L1-04_L2-04c_0011__scene_008,T0,L1-04_L2-04c_0011__scene_008,real,Real,real,RA-Bench,real,canonical_reference,media/main/real/L1-04/L1-04_L2-04c_0011__scene_008.mp4,https://www.dvidshub.net/video/957316/active-shooter-exercise
T0::real::L1-04_L2-04d_0001__scene_004,T0,L1-04_L2-04d_0001__scene_004,real,Real,real,RA-Bench,real,canonical_reference,media/main/real/L1-04/L1-04_L2-04d_0001__scene_004.mp4,https://www.dvidshub.net/video/996824/coast-guard-rescues-stranded-man-illinois-river-valley
T0::real::L1-04_L2-04d_0001__scene_005,T0,L1-04_L2-04d_0001__scene_005,real,Real,real,RA-Bench,real,canonical_reference,media/main/real/L1-04/L1-04_L2-04d_0001__scene_005.mp4,https://www.dvidshub.net/video/996824/coast-guard-rescues-stranded-man-illinois-river-valley
T0::real::L1-04_L2-04d_0010__scene_011,T0,L1-04_L2-04d_0010__scene_011,real,Real,real,RA-Bench,real,canonical_reference,media/main/real/L1-04/L1-04_L2-04d_0010__scene_011.mp4,https://www.dvidshub.net/video/952322/urban-search-and-rescue-task-force-3-conducts-search-palisades
T0::real::L1-04_L2-04d_0010__scene_012,T0,L1-04_L2-04d_0010__scene_012,real,Real,real,RA-Bench,real,canonical_reference,media/main/real/L1-04/L1-04_L2-04d_0010__scene_012.mp4,https://www.dvidshub.net/video/952322/urban-search-and-rescue-task-force-3-conducts-search-palisades
T0::real::L1-04_L2-04d_0010__scene_016,T0,L1-04_L2-04d_0010__scene_016,real,Real,real,RA-Bench,real,canonical_reference,media/main/real/L1-04/L1-04_L2-04d_0010__scene_016.mp4,https://www.dvidshub.net/video/952322/urban-search-and-rescue-task-force-3-conducts-search-palisades
T0::real::L1-04_L2-04d_0011__scene_026,T0,L1-04_L2-04d_0011__scene_026,real,Real,real,RA-Bench,real,canonical_reference,media/main/real/L1-04/L1-04_L2-04d_0011__scene_026.mp4,https://www.dvidshub.net/video/952285/usar-k9-dogs-conduct-search-missions-pacific-palisades
T0::real::L1-04_L2-04d_0014__scene_014,T0,L1-04_L2-04d_0014__scene_014,real,Real,real,RA-Bench,real,canonical_reference,media/main/real/L1-04/L1-04_L2-04d_0014__scene_014.mp4,https://www.dvidshub.net/video/936318/pp24-2-phl-urban-search-and-rescue
T0::real::L1-04_L2-04d_0014__scene_053,T0,L1-04_L2-04d_0014__scene_053,real,Real,real,RA-Bench,real,canonical_reference,media/main/real/L1-04/L1-04_L2-04d_0014__scene_053.mp4,https://www.dvidshub.net/video/936318/pp24-2-phl-urban-search-and-rescue
T0::real::L1-05_L2-05a_0013__scene_010,T0,L1-05_L2-05a_0013__scene_010,real,Real,real,RA-Bench,real,url_only,,https://www.youtube.com/watch?v=VO8HdzYa6f4
T0::real::L1-05_L2-05a_0014__scene_008,T0,L1-05_L2-05a_0014__scene_008,real,Real,real,RA-Bench,real,url_only,,https://www.youtube.com/watch?v=CnZa3DWoFT8
T0::real::L1-05_L2-05a_0016__scene_016,T0,L1-05_L2-05a_0016__scene_016,real,Real,real,RA-Bench,real,url_only,,https://www.youtube.com/watch?v=XKfF_CLANNU
T0::real::L1-05_L2-05a_0016__scene_031,T0,L1-05_L2-05a_0016__scene_031,real,Real,real,RA-Bench,real,url_only,,https://www.youtube.com/watch?v=XKfF_CLANNU
T0::real::L1-05_L2-05a_0019__scene_010,T0,L1-05_L2-05a_0019__scene_010,real,Real,real,RA-Bench,real,url_only,,https://www.youtube.com/watch?v=3TA8VWF2O8k
T0::real::L1-05_L2-05a_0020__scene_013,T0,L1-05_L2-05a_0020__scene_013,real,Real,real,RA-Bench,real,url_only,,https://www.youtube.com/watch?v=JpkRK9o8SSo
T0::real::L1-05_L2-05b_0011__scene_014,T0,L1-05_L2-05b_0011__scene_014,real,Real,real,RA-Bench,real,url_only,,https://www.youtube.com/watch?v=7AyXTVkVBT4
T0::real::L1-05_L2-05c_0013__scene_023,T0,L1-05_L2-05c_0013__scene_023,real,Real,real,RA-Bench,real,url_only,,https://www.youtube.com/watch?v=3OBB3N7yZPU
T0::real::L1-05_L2-05d_0014__scene_008,T0,L1-05_L2-05d_0014__scene_008,real,Real,real,RA-Bench,real,url_only,,https://www.youtube.com/watch?v=O0bZtjXQHms
T0::real::L1-05_L2-05d_0014__scene_009,T0,L1-05_L2-05d_0014__scene_009,real,Real,real,RA-Bench,real,url_only,,https://www.youtube.com/watch?v=O0bZtjXQHms
T0::real::L1-05_L2-05e_0015__scene_005,T0,L1-05_L2-05e_0015__scene_005,real,Real,real,RA-Bench,real,url_only,,https://www.youtube.com/watch?v=OGyAXbVH8Qs
T0::real::L1-05_L2-05e_0016__scene_012,T0,L1-05_L2-05e_0016__scene_012,real,Real,real,RA-Bench,real,url_only,,https://www.youtube.com/watch?v=aeJKqojmHgY
T0::real::L1-05_L2-05e_0026__scene_001,T0,L1-05_L2-05e_0026__scene_001,real,Real,real,RA-Bench,real,url_only,,https://www.youtube.com/watch?v=PR0PB0BvKVI
T0::real::L1-06_L2-06a_0006__scene_009,T0,L1-06_L2-06a_0006__scene_009,real,Real,real,RA-Bench,real,url_only,,https://www.youtube.com/watch?v=faus3Ff9deQ
T0::real::L1-06_L2-06a_0006__scene_010,T0,L1-06_L2-06a_0006__scene_010,real,Real,real,RA-Bench,real,url_only,,https://www.youtube.com/watch?v=faus3Ff9deQ
T0::real::L1-06_L2-06a_0008__scene_001,T0,L1-06_L2-06a_0008__scene_001,real,Real,real,RA-Bench,real,url_only,,https://www.youtube.com/watch?v=AN3h9Qcjxn4
T0::real::L1-06_L2-06c_0003__scene_003,T0,L1-06_L2-06c_0003__scene_003,real,Real,real,RA-Bench,real,url_only,,https://www.youtube.com/watch?v=JSi6ROzKuB0
