item_id,norm_clip_id,source_key,source_name,source_family,generated_media_path,paired_real_release_mode,paired_real_media_path,paired_real_source_url,stage1_assigned_reviewers,stage1_real_judgments,stage2_assigned_reviewers,stage2_real_judgments,all_five_judged_real
hailuo_2_3_fast::L1-02_L2-02b_0003__scene_010,L1-02_L2-02b_0003__scene_010,hailuo_2_3_fast,Hailuo,closed_source,media/main/generated/hailuo_2_3_fast/L1-02_L2-02b_0003__scene_010.mp4,media,media/main/real/L1-02/L1-02_L2-02b_0003__scene_010.mp4,https://www.dvidshub.net/video/946347/flight-experiment-mission-02-fem-02-b-roll,3,3,2,2,True
hailuo_2_3_fast::L1-02_L2-02b_0003__scene_012,L1-02_L2-02b_0003__scene_012,hailuo_2_3_fast,Hailuo,closed_source,media/main/generated/hailuo_2_3_fast/L1-02_L2-02b_0003__scene_012.mp4,media,media/main/real/L1-02/L1-02_L2-02b_0003__scene_012.mp4,https://www.dvidshub.net/video/946347/flight-experiment-mission-02-fem-02-b-roll,3,3,2,2,True
hailuo_2_3_fast::L1-02_L2-02b_0004__scene_018,L1-02_L2-02b_0004__scene_018,hailuo_2_3_fast,Hailuo,closed_source,media/main/generated/hailuo_2_3_fast/L1-02_L2-02b_0004__scene_018.mp4,media,media/main/real/L1-02/L1-02_L2-02b_0004__scene_018.mp4,https://www.dvidshub.net/video/944147/stinger-missile-live-fire-exercise-afn-broll,3,3,2,2,True
hailuo_2_3_fast::L1-02_L2-02d_0001__scene_002,L1-02_L2-02d_0001__scene_002,hailuo_2_3_fast,Hailuo,closed_source,media/main/generated/hailuo_2_3_fast/L1-02_L2-02d_0001__scene_002.mp4,media,media/main/real/L1-02/L1-02_L2-02d_0001__scene_002.mp4,https://www.dvidshub.net/video/998309/b-roll-task-force-ashland-conducts-counter-landing-defense-during-exercise-cobra-gold-2026,3,3,2,2,True
hailuo_2_3_fast::L1-02_L2-02d_0002__scene_010,L1-02_L2-02d_0002__scene_010,hailuo_2_3_fast,Hailuo,closed_source,media/main/generated/hailuo_2_3_fast/L1-02_L2-02d_0002__scene_010.mp4,media,media/main/real/L1-02/L1-02_L2-02d_0002__scene_010.mp4,https://www.dvidshub.net/video/997776/b-roll-spanish-air-force-nh90-helicopter-during-touch-and-go-training-during-exercise-sentry-south-26-2,3,3,2,2,True
hailuo_2_3_fast::L1-02_L2-02d_0014__scene_002,L1-02_L2-02d_0014__scene_002,hailuo_2_3_fast,Hailuo,closed_source,media/main/generated/hailuo_2_3_fast/L1-02_L2-02d_0014__scene_002.mp4,media,media/main/real/L1-02/L1-02_L2-02d_0014__scene_002.mp4,https://www.dvidshub.net/video/962878/b-roll-force-force-training-swift-response-25,3,3,2,2,True
hailuo_2_3_fast::L1-02_L2-02d_0015__scene_003,L1-02_L2-02d_0015__scene_003,hailuo_2_3_fast,Hailuo,closed_source,media/main/generated/hailuo_2_3_fast/L1-02_L2-02d_0015__scene_003.mp4,media,media/main/real/L1-02/L1-02_L2-02d_0015__scene_003.mp4,https://www.dvidshub.net/video/945046/parade-celebrates-20-years-nato-restoration-lithuanian-armed-forces,3,3,2,2,True
hailuo_2_3_fast::L1-03_L2-03d_0010__scene_013,L1-03_L2-03d_0010__scene_013,hailuo_2_3_fast,Hailuo,closed_source,media/main/generated/hailuo_2_3_fast/L1-03_L2-03d_0010__scene_013.mp4,media,media/main/real/L1-03/L1-03_L2-03d_0010__scene_013.mp4,https://www.whitehouse.gov/videos/president-trump-and-the-first-lady-participate-in-a-windsor-castle-arrival-ceremony/,3,3,2,2,True
hailuo_2_3_fast::L1-04_L2-04a_0009__scene_007,L1-04_L2-04a_0009__scene_007,hailuo_2_3_fast,Hailuo,closed_source,media/main/generated/hailuo_2_3_fast/L1-04_L2-04a_0009__scene_007.mp4,media,media/main/real/L1-04/L1-04_L2-04a_0009__scene_007.mp4,https://www.dvidshub.net/video/949329/california-army-national-guard-military-police-provide-traffic-check-point-support-near-eaton-fire-area,3,3,2,2,True
hailuo_2_3_fast::L1-04_L2-04a_0010__scene_016,L1-04_L2-04a_0010__scene_016,hailuo_2_3_fast,Hailuo,closed_source,media/main/generated/hailuo_2_3_fast/L1-04_L2-04a_0010__scene_016.mp4,media,media/main/real/L1-04/L1-04_L2-04a_0010__scene_016.mp4,https://www.dvidshub.net/video/792081/minnesota-guardsmen-provide-security-brooklyn-center-police-department,3,3,2,2,True
hailuo_2_3_fast::L1-04_L2-04a_0010__scene_020,L1-04_L2-04a_0010__scene_020,hailuo_2_3_fast,Hailuo,closed_source,media/main/generated/hailuo_2_3_fast/L1-04_L2-04a_0010__scene_020.mp4,media,media/main/real/L1-04/L1-04_L2-04a_0010__scene_020.mp4,https://www.dvidshub.net/video/792081/minnesota-guardsmen-provide-security-brooklyn-center-police-department,3,3,2,2,True
hailuo_2_3_fast::L1-04_L2-04a_0012__scene_002,L1-04_L2-04a_0012__scene_002,hailuo_2_3_fast,Hailuo,closed_source,media/main/generated/hailuo_2_3_fast/L1-04_L2-04a_0012__scene_002.mp4,media,media/main/real/L1-04/L1-04_L2-04a_0012__scene_002.mp4,https://www.dvidshub.net/video/755447/idaho-national-guard-support-dc-civil-unrest-response-efforts,3,3,2,2,True
hailuo_2_3_fast::L1-04_L2-04a_0012__scene_013,L1-04_L2-04a_0012__scene_013,hailuo_2_3_fast,Hailuo,closed_source,media/main/generated/hailuo_2_3_fast/L1-04_L2-04a_0012__scene_013.mp4,media,media/main/real/L1-04/L1-04_L2-04a_0012__scene_013.mp4,https://www.dvidshub.net/video/755447/idaho-national-guard-support-dc-civil-unrest-response-efforts,3,3,2,2,True
hailuo_2_3_fast::L1-04_L2-04b_0019__scene_003,L1-04_L2-04b_0019__scene_003,hailuo_2_3_fast,Hailuo,closed_source,media/main/generated/hailuo_2_3_fast/L1-04_L2-04b_0019__scene_003.mp4,url_only,,https://www.youtube.com/watch?v=FV_lyDuddxA,3,3,2,2,True
hailuo_2_3_fast::L1-04_L2-04d_0011__scene_019,L1-04_L2-04d_0011__scene_019,hailuo_2_3_fast,Hailuo,closed_source,media/main/generated/hailuo_2_3_fast/L1-04_L2-04d_0011__scene_019.mp4,media,media/main/real/L1-04/L1-04_L2-04d_0011__scene_019.mp4,https://www.dvidshub.net/video/952285/usar-k9-dogs-conduct-search-missions-pacific-palisades,3,3,2,2,True
hailuo_2_3_fast::L1-04_L2-04d_0014__scene_016,L1-04_L2-04d_0014__scene_016,hailuo_2_3_fast,Hailuo,closed_source,media/main/generated/hailuo_2_3_fast/L1-04_L2-04d_0014__scene_016.mp4,media,media/main/real/L1-04/L1-04_L2-04d_0014__scene_016.mp4,https://www.dvidshub.net/video/936318/pp24-2-phl-urban-search-and-rescue,3,3,2,2,True
hailuo_2_3_fast::L1-05_L2-05a_0015__scene_006,L1-05_L2-05a_0015__scene_006,hailuo_2_3_fast,Hailuo,closed_source,media/main/generated/hailuo_2_3_fast/L1-05_L2-05a_0015__scene_006.mp4,url_only,,https://www.youtube.com/watch?v=TzNX5tJ-OcU,3,3,2,2,True
hailuo_2_3_fast::L1-05_L2-05a_0016__scene_036,L1-05_L2-05a_0016__scene_036,hailuo_2_3_fast,Hailuo,closed_source,media/main/generated/hailuo_2_3_fast/L1-05_L2-05a_0016__scene_036.mp4,url_only,,https://www.youtube.com/watch?v=XKfF_CLANNU,3,3,2,2,True
hailuo_2_3_fast::L1-05_L2-05b_0011__scene_013,L1-05_L2-05b_0011__scene_013,hailuo_2_3_fast,Hailuo,closed_source,media/main/generated/hailuo_2_3_fast/L1-05_L2-05b_0011__scene_013.mp4,url_only,,https://www.youtube.com/watch?v=7AyXTVkVBT4,3,3,2,2,True
hailuo_2_3_fast::L1-05_L2-05c_0013__scene_023,L1-05_L2-05c_0013__scene_023,hailuo_2_3_fast,Hailuo,closed_source,media/main/generated/hailuo_2_3_fast/L1-05_L2-05c_0013__scene_023.mp4,url_only,,https://www.youtube.com/watch?v=3OBB3N7yZPU,3,3,2,2,True
hailuo_2_3_fast::L1-05_L2-05d_0013__scene_003,L1-05_L2-05d_0013__scene_003,hailuo_2_3_fast,Hailuo,closed_source,media/main/generated/hailuo_2_3_fast/L1-05_L2-05d_0013__scene_003.mp4,url_only,,https://www.youtube.com/watch?v=Ppk0RrrQ8OE,3,3,2,2,True
hailuo_2_3_fast::L1-05_L2-05d_0014__scene_004,L1-05_L2-05d_0014__scene_004,hailuo_2_3_fast,Hailuo,closed_source,media/main/generated/hailuo_2_3_fast/L1-05_L2-05d_0014__scene_004.mp4,url_only,,https://www.youtube.com/watch?v=O0bZtjXQHms,3,3,2,2,True
hailuo_2_3_fast::L1-05_L2-05d_0014__scene_008,L1-05_L2-05d_0014__scene_008,hailuo_2_3_fast,Hailuo,closed_source,media/main/generated/hailuo_2_3_fast/L1-05_L2-05d_0014__scene_008.mp4,url_only,,https://www.youtube.com/watch?v=O0bZtjXQHms,3,3,2,2,True
hailuo_2_3_fast::L1-05_L2-05d_0016__scene_001,L1-05_L2-05d_0016__scene_001,hailuo_2_3_fast,Hailuo,closed_source,media/main/generated/hailuo_2_3_fast/L1-05_L2-05d_0016__scene_001.mp4,url_only,,https://www.youtube.com/watch?v=JGRq5OTtQcY,3,3,2,2,True
hailuo_2_3_fast::L1-05_L2-05d_0016__scene_002,L1-05_L2-05d_0016__scene_002,hailuo_2_3_fast,Hailuo,closed_source,media/main/generated/hailuo_2_3_fast/L1-05_L2-05d_0016__scene_002.mp4,url_only,,https://www.youtube.com/watch?v=JGRq5OTtQcY,3,3,2,2,True
hailuo_2_3_fast::L1-07_L2-07a_0014__scene_003,L1-07_L2-07a_0014__scene_003,hailuo_2_3_fast,Hailuo,closed_source,media/main/generated/hailuo_2_3_fast/L1-07_L2-07a_0014__scene_003.mp4,media,media/main/real/L1-07/L1-07_L2-07a_0014__scene_003.mp4,https://www.dvidshub.net/video/745937,3,3,2,2,True
hailuo_2_3_fast::L1-07_L2-07a_0014__scene_006,L1-07_L2-07a_0014__scene_006,hailuo_2_3_fast,Hailuo,closed_source,media/main/generated/hailuo_2_3_fast/L1-07_L2-07a_0014__scene_006.mp4,media,media/main/real/L1-07/L1-07_L2-07a_0014__scene_006.mp4,https://www.dvidshub.net/video/745937,3,3,2,2,True
hailuo_2_3_fast::L1-07_L2-07b_0004__scene_006,L1-07_L2-07b_0004__scene_006,hailuo_2_3_fast,Hailuo,closed_source,media/main/generated/hailuo_2_3_fast/L1-07_L2-07b_0004__scene_006.mp4,media,media/main/real/L1-07/L1-07_L2-07b_0004__scene_006.mp4,https://www.dvidshub.net/video/830346,3,3,2,2,True
hailuo_2_3_fast::L1-07_L2-07b_0005__scene_009,L1-07_L2-07b_0005__scene_009,hailuo_2_3_fast,Hailuo,closed_source,media/main/generated/hailuo_2_3_fast/L1-07_L2-07b_0005__scene_009.mp4,media,media/main/real/L1-07/L1-07_L2-07b_0005__scene_009.mp4,https://www.dvidshub.net/video/830060,3,3,2,2,True
hailuo_2_3_fast::L1-07_L2-07b_0013__scene_024,L1-07_L2-07b_0013__scene_024,hailuo_2_3_fast,Hailuo,closed_source,media/main/generated/hailuo_2_3_fast/L1-07_L2-07b_0013__scene_024.mp4,media,media/main/real/L1-07/L1-07_L2-07b_0013__scene_024.mp4,https://www.dvidshub.net/video/749448,3,3,2,2,True
hailuo_2_3_fast::L1-07_L2-07c_0015__scene_010,L1-07_L2-07c_0015__scene_010,hailuo_2_3_fast,Hailuo,closed_source,media/main/generated/hailuo_2_3_fast/L1-07_L2-07c_0015__scene_010.mp4,media,media/main/real/L1-07/L1-07_L2-07c_0015__scene_010.mp4,https://www.dvidshub.net/video/781530,3,3,2,2,True
hailuo_2_3_fast::L1-07_L2-07c_0015__scene_011,L1-07_L2-07c_0015__scene_011,hailuo_2_3_fast,Hailuo,closed_source,media/main/generated/hailuo_2_3_fast/L1-07_L2-07c_0015__scene_011.mp4,media,media/main/real/L1-07/L1-07_L2-07c_0015__scene_011.mp4,https://www.dvidshub.net/video/781530,3,3,2,2,True
hailuo_2_3_fast::L1-07_L2-07d_0009__scene_002,L1-07_L2-07d_0009__scene_002,hailuo_2_3_fast,Hailuo,closed_source,media/main/generated/hailuo_2_3_fast/L1-07_L2-07d_0009__scene_002.mp4,media,media/main/real/L1-07/L1-07_L2-07d_0009__scene_002.mp4,https://www.dvidshub.net/video/748275,3,3,2,2,True
hailuo_2_3_fast::L1-08_L2-08a_0002__scene_032,L1-08_L2-08a_0002__scene_032,hailuo_2_3_fast,Hailuo,closed_source,media/main/generated/hailuo_2_3_fast/L1-08_L2-08a_0002__scene_032.mp4,url_only,,https://www.youtube.com/watch?v=hS1YqcewH0c,3,3,2,2,True
hailuo_2_3_fast::L1-08_L2-08d_0001__scene_024,L1-08_L2-08d_0001__scene_024,hailuo_2_3_fast,Hailuo,closed_source,media/main/generated/hailuo_2_3_fast/L1-08_L2-08d_0001__scene_024.mp4,url_only,,https://www.youtube.com/watch?v=r1R3RDPvPeg,3,3,2,2,True
hailuo_2_3_fast::L1-08_L2-08d_0005__scene_057,L1-08_L2-08d_0005__scene_057,hailuo_2_3_fast,Hailuo,closed_source,media/main/generated/hailuo_2_3_fast/L1-08_L2-08d_0005__scene_057.mp4,url_only,,https://www.youtube.com/watch?v=51iONeETSng,3,3,2,2,True
hailuo_2_3_fast::L1-10_L2-10e_0015__scene_002,L1-10_L2-10e_0015__scene_002,hailuo_2_3_fast,Hailuo,closed_source,media/main/generated/hailuo_2_3_fast/L1-10_L2-10e_0015__scene_002.mp4,media,media/main/real/L1-10/L1-10_L2-10e_0015__scene_002.mp4,https://www.pexels.com/video/fireworks-display-in-dubai-during-new-year-s-celebrations-14980605/,3,3,2,2,True
happy_horse::L1-01_L2-01a_0009__scene_003,L1-01_L2-01a_0009__scene_003,happy_horse,HappyHorse,closed_source,media/main/generated/happy_horse/L1-01_L2-01a_0009__scene_003.mp4,media,media/main/real/L1-01/L1-01_L2-01a_0009__scene_003.mp4,https://www.dvidshub.net/video/884751/team-andersen-conducts-recovery-operations-after-typhoon-mawar,3,3,2,2,True
happy_horse::L1-01_L2-01a_0015__scene_010,L1-01_L2-01a_0015__scene_010,happy_horse,HappyHorse,closed_source,media/main/generated/happy_horse/L1-01_L2-01a_0015__scene_010.mp4,media,media/main/real/L1-01/L1-01_L2-01a_0015__scene_010.mp4,https://www.dvidshub.net/video/758724/jackson-tornado-1984,3,3,2,2,True
happy_horse::L1-01_L2-01b_0005__scene_012,L1-01_L2-01b_0005__scene_012,happy_horse,HappyHorse,closed_source,media/main/generated/happy_horse/L1-01_L2-01b_0005__scene_012.mp4,media,media/main/real/L1-01/L1-01_L2-01b_0005__scene_012.mp4,https://www.dvidshub.net/video/951064/palisades-fire-b-roll,3,3,2,2,True
happy_horse::L1-01_L2-01b_0005__scene_025,L1-01_L2-01b_0005__scene_025,happy_horse,HappyHorse,closed_source,media/main/generated/happy_horse/L1-01_L2-01b_0005__scene_025.mp4,media,media/main/real/L1-01/L1-01_L2-01b_0005__scene_025.mp4,https://www.dvidshub.net/video/951064/palisades-fire-b-roll,3,3,2,2,True
happy_horse::L1-01_L2-01d_0004__scene_011,L1-01_L2-01d_0004__scene_011,happy_horse,HappyHorse,closed_source,media/main/generated/happy_horse/L1-01_L2-01d_0004__scene_011.mp4,media,media/main/real/L1-01/L1-01_L2-01d_0004__scene_011.mp4,https://www.dvidshub.net/video/971051/texas-guard-czech-firefighters-civilian-responders-conduct-joint-search-operations-near-kerrville-tx,3,3,2,2,True
happy_horse::L1-01_L2-01d_0017__scene_001,L1-01_L2-01d_0017__scene_001,happy_horse,HappyHorse,closed_source,media/main/generated/happy_horse/L1-01_L2-01d_0017__scene_001.mp4,media,media/main/real/L1-01/L1-01_L2-01d_0017__scene_001.mp4,https://www.dvidshub.net/video/506501/camp-pendleton-flood-areas-aerial-view,3,3,2,2,True
happy_horse::L1-01_L2-01d_0017__scene_003,L1-01_L2-01d_0017__scene_003,happy_horse,HappyHorse,closed_source,media/main/generated/happy_horse/L1-01_L2-01d_0017__scene_003.mp4,media,media/main/real/L1-01/L1-01_L2-01d_0017__scene_003.mp4,https://www.dvidshub.net/video/506501/camp-pendleton-flood-areas-aerial-view,3,3,2,2,True
happy_horse::L1-02_L2-02a_0004__scene_022,L1-02_L2-02a_0004__scene_022,happy_horse,HappyHorse,closed_source,media/main/generated/happy_horse/L1-02_L2-02a_0004__scene_022.mp4,media,media/main/real/L1-02/L1-02_L2-02a_0004__scene_022.mp4,https://www.dvidshub.net/video/32368/insurgents-haifa-street,3,3,2,2,True
happy_horse::L1-02_L2-02a_0004__scene_051,L1-02_L2-02a_0004__scene_051,happy_horse,HappyHorse,closed_source,media/main/generated/happy_horse/L1-02_L2-02a_0004__scene_051.mp4,media,media/main/real/L1-02/L1-02_L2-02a_0004__scene_051.mp4,https://www.dvidshub.net/video/32368/insurgents-haifa-street,3,3,2,2,True
happy_horse::L1-02_L2-02b_0008__scene_023,L1-02_L2-02b_0008__scene_023,happy_horse,HappyHorse,closed_source,media/main/generated/happy_horse/L1-02_L2-02b_0008__scene_023.mp4,media,media/main/real/L1-02/L1-02_L2-02b_0008__scene_023.mp4,https://www.dvidshub.net/video/858956/aim-9x-sidewinder-live-fire-missile-exercise-b-roll,3,3,2,2,True
happy_horse::L1-02_L2-02c_0003__scene_002,L1-02_L2-02c_0003__scene_002,happy_horse,HappyHorse,closed_source,media/main/generated/happy_horse/L1-02_L2-02c_0003__scene_002.mp4,media,media/main/real/L1-02/L1-02_L2-02c_0003__scene_002.mp4,https://www.dvidshub.net/video/985972/1st-maw-holds-elephant-walk-mcas-futenma,3,3,2,2,True
happy_horse::L1-02_L2-02c_0003__scene_017,L1-02_L2-02c_0003__scene_017,happy_horse,HappyHorse,closed_source,media/main/generated/happy_horse/L1-02_L2-02c_0003__scene_017.mp4,media,media/main/real/L1-02/L1-02_L2-02c_0003__scene_017.mp4,https://www.dvidshub.net/video/985972/1st-maw-holds-elephant-walk-mcas-futenma,3,3,2,2,True
happy_horse::L1-02_L2-02c_0009__scene_004,L1-02_L2-02c_0009__scene_004,happy_horse,HappyHorse,closed_source,media/main/generated/happy_horse/L1-02_L2-02c_0009__scene_004.mp4,media,media/main/real/L1-02/L1-02_L2-02c_0009__scene_004.mp4,https://www.dvidshub.net/video/955407/navy-super-hornets-fly-formation-over-uscentcom-aor-stringer,3,3,2,2,True
happy_horse::L1-02_L2-02d_0001__scene_010,L1-02_L2-02d_0001__scene_010,happy_horse,HappyHorse,closed_source,media/main/generated/happy_horse/L1-02_L2-02d_0001__scene_010.mp4,media,media/main/real/L1-02/L1-02_L2-02d_0001__scene_010.mp4,https://www.dvidshub.net/video/998309/b-roll-task-force-ashland-conducts-counter-landing-defense-during-exercise-cobra-gold-2026,3,3,2,2,True
happy_horse::L1-02_L2-02d_0008__scene_021,L1-02_L2-02d_0008__scene_021,happy_horse,HappyHorse,closed_source,media/main/generated/happy_horse/L1-02_L2-02d_0008__scene_021.mp4,media,media/main/real/L1-02/L1-02_L2-02d_0008__scene_021.mp4,https://www.dvidshub.net/video/965885/us-soldiers-rehearse-saber-guardian-25,3,3,2,2,True
happy_horse::L1-02_L2-02d_0014__scene_021,L1-02_L2-02d_0014__scene_021,happy_horse,HappyHorse,closed_source,media/main/generated/happy_horse/L1-02_L2-02d_0014__scene_021.mp4,media,media/main/real/L1-02/L1-02_L2-02d_0014__scene_021.mp4,https://www.dvidshub.net/video/962878/b-roll-force-force-training-swift-response-25,3,3,2,2,True
happy_horse::L1-02_L2-02d_0015__scene_009,L1-02_L2-02d_0015__scene_009,happy_horse,HappyHorse,closed_source,media/main/generated/happy_horse/L1-02_L2-02d_0015__scene_009.mp4,media,media/main/real/L1-02/L1-02_L2-02d_0015__scene_009.mp4,https://www.dvidshub.net/video/945046/parade-celebrates-20-years-nato-restoration-lithuanian-armed-forces,3,3,2,2,True
happy_horse::L1-03_L2-03a_0010__scene_068,L1-03_L2-03a_0010__scene_068,happy_horse,HappyHorse,closed_source,media/main/generated/happy_horse/L1-03_L2-03a_0010__scene_068.mp4,media,media/main/real/L1-03/L1-03_L2-03a_0010__scene_068.mp4,https://www.whitehouse.gov/videos/press-secretary-karoline-leavitt-briefs-members-of-the-media-nov-4-2025/,3,3,2,2,True
happy_horse::L1-03_L2-03a_0011__scene_061,L1-03_L2-03a_0011__scene_061,happy_horse,HappyHorse,closed_source,media/main/generated/happy_horse/L1-03_L2-03a_0011__scene_061.mp4,media,media/main/real/L1-03/L1-03_L2-03a_0011__scene_061.mp4,https://www.whitehouse.gov/videos/press-secretary-karoline-leavitt-briefs-members-of-the-media-oct-23-2025/,3,3,2,2,True
happy_horse::L1-03_L2-03a_0011__scene_064,L1-03_L2-03a_0011__scene_064,happy_horse,HappyHorse,closed_source,media/main/generated/happy_horse/L1-03_L2-03a_0011__scene_064.mp4,media,media/main/real/L1-03/L1-03_L2-03a_0011__scene_064.mp4,https://www.whitehouse.gov/videos/press-secretary-karoline-leavitt-briefs-members-of-the-media-oct-23-2025/,3,3,2,2,True
happy_horse::L1-03_L2-03b_0007__scene_022,L1-03_L2-03b_0007__scene_022,happy_horse,HappyHorse,closed_source,media/main/generated/happy_horse/L1-03_L2-03b_0007__scene_022.mp4,media,media/main/real/L1-03/L1-03_L2-03b_0007__scene_022.mp4,https://multimedia.europarl.europa.eu/en/video/four-years-of-russias-war-of-aggression-against-ukraine-and-european-contributions-to-a-just-peace-and-sustained-security-for-ukraine-meps-debate_I285177,3,3,2,2,True
happy_horse::L1-03_L2-03b_0007__scene_066,L1-03_L2-03b_0007__scene_066,happy_horse,HappyHorse,closed_source,media/main/generated/happy_horse/L1-03_L2-03b_0007__scene_066.mp4,media,media/main/real/L1-03/L1-03_L2-03b_0007__scene_066.mp4,https://multimedia.europarl.europa.eu/en/video/four-years-of-russias-war-of-aggression-against-ukraine-and-european-contributions-to-a-just-peace-and-sustained-security-for-ukraine-meps-debate_I285177,3,3,2,2,True
happy_horse::L1-03_L2-03b_0009__scene_013,L1-03_L2-03b_0009__scene_013,happy_horse,HappyHorse,closed_source,media/main/generated/happy_horse/L1-03_L2-03b_0009__scene_013.mp4,media,media/main/real/L1-03/L1-03_L2-03b_0009__scene_013.mp4,https://multimedia.europarl.europa.eu/en/video/four-years-of-russias-war-of-aggression-against-ukraine-and-european-contributions-to-a-just-peace-and-sustained-security-for-ukraine-one-round-of-political-group-leaders_I285499,3,3,2,2,True
happy_horse::L1-04_L2-04a_0007__scene_006,L1-04_L2-04a_0007__scene_006,happy_horse,HappyHorse,closed_source,media/main/generated/happy_horse/L1-04_L2-04a_0007__scene_006.mp4,media,media/main/real/L1-04/L1-04_L2-04a_0007__scene_006.mp4,https://www.dvidshub.net/video/968080/b-roll-california-national-guard-supports-security-operations-los-angeles,3,3,2,2,True
happy_horse::L1-04_L2-04a_0010__scene_003,L1-04_L2-04a_0010__scene_003,happy_horse,HappyHorse,closed_source,media/main/generated/happy_horse/L1-04_L2-04a_0010__scene_003.mp4,media,media/main/real/L1-04/L1-04_L2-04a_0010__scene_003.mp4,https://www.dvidshub.net/video/792081/minnesota-guardsmen-provide-security-brooklyn-center-police-department,3,3,2,2,True
